区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
广东·云浮·云城区,蟠龙洞,3655206459,公园,3A景区,热度 0.86,广东省云浮市云城区蟠龙路75号,喀斯特溶洞，洞体迂回典折，形若蛟龙,"112.055868,22.949308"
广东·湛江·坡头区,海东度假村,1255218724,农家度假,,热度 0.0,广东省湛江市坡头区海东快线南66号,冲浪河漂流、木屋景观、农业生态园,"110.490969,21.260696"
广东·湛江·吴川市,德萨斯水世界,3010187457,游乐场,,热度 0.0,广东省湛江市吴川市覃巴镇鼎龙湾国家海洋度假区,充满美国西部风情的水上乐园,"110.911429,21.40649"
广东·湛江·霞山区,特呈渔岛度假村,166047906,自然风光,,热度 0.0,湛江霞山区东堤路15号,粤西地区生态休闲、观光度假好去处,"110.424925,21.195015"
广东·湛江·霞山区,湖光岩,2655431436,公园,4A景区,热度 1.0,湛江市湛江郊区湖光镇湛江湖光岩风景名胜区,国内发现的典型“玛尔湖”,"110.291167,21.150141"
广东·肇庆·德庆县,肇庆龙母庙,4182074438,文化古迹,4A景区,热度 0.72,广东省肇庆市悦城镇悦城龙母祖庙,岭南建筑三瑰宝之一,"112.141314,23.098675"
广东·肇庆·鼎湖区,紫云谷,3413327942,自然风光,,热度 0.0,广东省肇庆市鼎湖区坑口紫云谷,吸纳山氧，弄瀑戏水，沐浴山泉，置身大自然,"112.589086,23.136987"
广东·肇庆·端州区,星湖,2921736137,自然风光,4A景区,热度 1.0,肇庆市端州区星湖大道,群山环绕，湖水碧绿,"112.463855,23.072985"
广东·肇庆·端州区,星湖湿地公园,3417467230,公园,4A景区,热度 0.78,广东省肇庆市端州区莲湖西路,观赏人与自然、与动物和谐相处的天然佳景,"112.481443,23.083782"
广东·肇庆·封开国家地质公园,黄岩洞陈列馆,1796851213,展馆,,热度 0.0,广东省肇庆市封开县封开国家地质公园,展示了封开乃至华南地区的历史文化面貌,"111.551521,23.328246"
广东·肇庆·四会市,四会奇石河,10288993,自然风光,,热度 0.7,广东省肇庆四会市,如诗如画的小桥流水，漫山遍野的鸟语花香,"112.729835,23.689386"
广东·肇庆·星湖,肇庆七星岩,1684855179,自然风光,4A景区,热度 0.0,广东省肇庆市端州区迎宾大道七星岩旅游度假区内,湖中有山，山中有洞，洞中有河,"112.483486,23.084494"
广东·肇庆·星湖,鼎湖山,2446117003,自然风光,4A景区,热度 0.86,广东省肇庆市鼎湖区上山路坑口镇,风光秀丽，具有浓郁江南诗情画意,"112.561202,23.165899"
广东·中山,迪茵湖休闲生态旅游度假区,168615285,农家度假,,热度 0.0,广东省中山市三角镇金三大道东8号之二,高端生态旅游度假区,"113.468822,22.677634"
广东·中山,伟丰生态农场,3550480871,农家度假,,热度 0.0,广东省中山市民众镇新伦村南崛尾围（即新伦加油站旁农路直入800米）,享受自然生态科普教育的过程,"113.518679,22.632258"
广东·中山,广骏生态园,1972775576,农家度假,,热度 0.0,广东省中山市横栏镇六沙村六沙大道,是传统农业种植、绿色生态保护区。,"113.209647,22.534191"
广东·中山·南区,悦来亲子王国主题乐园,3809526842,游乐场,,热度 0.0,广东中山南区永安一路9号（树木园旁）,家庭亲子游乐王国,"113.373251,22.49532"
广东·中山·南区,中山市大象东方蜡像馆,1476324182,展馆,,热度 0.0,广东省中山市南区永安一路悦盈新城(树木园西门对面),零距离接触明星偶像,"113.373001,22.495422"
广东·中山·石岐区,幻彩摩天轮,979363330,游乐场,,热度 0.0,广东省中山市石岐区凤鸣路9号五楼（即兴中广场C幢五楼）,集观光、娱乐、消费于一体的标志性景观,"113.373691,22.531597"
广东·中山·石岐区,中山云顶星河游乐王国,236468600,游乐场,,热度 0.0,广东中山市古镇新兴大道东云顶星河游乐王国,高端主题乐园,"113.210909,22.646067"
广东·中山·中山市区,詹园,245146644,文化古迹,4A景区,热度 0.76,广东省中山市南区北台村105国道旁,中国古典园林的造景艺术精髓运用得淋漓尽致,"113.337474,22.440491"
广东·中山·中山市区,中山泉林欢乐世界,244505344,农家度假,,热度 0.0,广东省中山市三乡镇南龙村,在优美的自然生态环境中放松身心,"113.408588,22.335477"
广东·中山·中山市区,逍遥谷,2545103523,农家度假,,热度 0.0,广东省中山市五桂山南桥银坑,以客家文化与自然山水为主题的旅游风景区,"113.438438,22.437351"
广东·中山·中山市区,旭景农业科技园,3091124189,农家度假,,热度 0.0,广东省中山市南区树涌村上名大围,一望无垠的七彩花田，周末走起来,"113.31362,22.435589"
广东·中山·中山市区,红博城千年走一回时光隧道博物馆群落,3708641281,展馆,,热度 0.0,广东省中山市大涌红博城正门游客服务中心,别具特色红博城博物馆群落,"113.315277,22.481879"
广东·中山·中山市区,山泉活水泳池,3370520965,运动健身,,热度 0.0,广东省中山市大涌镇叠石村,让每一寸肌肤更贴近大自然,"113.272462,22.484962"
广东·珠海,星奇塔无动力世界,2091563585,游乐场,,热度 0.0,广东省珠海市横琴新区 环岛北路108号，星乐度·露营小镇,无动力全龄亲子乐园,"113.480692,22.14053"
广东·珠海,港珠澳大桥海上游,1466172191,城市观光,,热度 0.0,珠海市九洲港码头,,"113.599537,22.244559"
广东·珠海·斗门区,珠海耀朗高尔夫俱乐部,3474479335,运动健身,,热度 0.0,广东省珠海市斗门区乾务镇五山三里村,珠海耀朗假日高尔夫球场是按照国际标准建造的18洞竞标赛球场，其球道长度有7050码，标准杆72杆。球场由具丰富经验的设计,"113.199909,22.186281"
广东·珠海·拱北区,珠澳海湾游,1225404176,城市观光,,热度 0.0,广东省珠海市拱北区湾仔镇南湾南路3002号,珠澳夜游，醇美的醉人夜,"113.539858,22.196061"
广东·珠海·拱北区,拱北海关,1824867843,城市观光,,热度 0.0,广东省珠海市拱北区水湾路18号,一个可供步行前往的出入境口岸,"113.563931,22.223967"
广东·珠海·海泉湾度假城,珠海海泉湾神秘岛,3175228651,游乐场,,热度 0.0,广东省珠海市金湾区平沙镇海泉湾度假区内,具有个性魅力的主题乐园,"113.128077,22.071218"
广东·珠海·金湾区,澳门环岛游,1313759051,自然风光,,热度 0.8,广东省珠海市湾仔南湾南路3002号,“浪漫之城”珠海的美丽景色一览无余,"113.540119,22.196822"
广东·珠海·金湾区,珠海长隆国际海洋度假区,3429632054,农家度假,,热度 0.0,广东省珠海市横琴岛南端环岛路长隆大道东侧,爸爸，放假我们就去这儿,"113.553944,22.105303"
广东·珠海·香洲区,珠海渔女,4259271886,自然风光,,热度 1.0,广东省珠海市香洲区香炉湾畔,项戴项珠，身掮渔网，手擎明珠,"113.583224,22.276366"
广东·珠海·香洲区,圆明新园,841772551,公园,4A景区,热度 0.9400000000000001,广东省珠海市香洲区兰埔路九州大道西,原尺寸仿建北京圆明园,"113.544454,22.246264"
广东·珠海·香洲区,珠海海滨公园,2607452589,公园,,热度 0.82,广东省珠海市香洲区海滨南路108号,靠山面海，可以看到珠海渔女等景观,"113.592717,22.262968"
广东·珠海·香洲区,广东珠海农科奇观园,3281147538,农家度假,,热度 0.0,广东省珠海市香洲区前山梅溪市健民路328号一号门,环境优美的高科技现代观光农场,"113.545004,22.279329"
广东·珠海·香洲区,珠海长隆横琴湾水世界,1177650136,游乐场,,热度 0.0,广东省珠海市横琴新区富祥湾（长隆国际海洋度假区）,美丽的酒店水上乐园,"113.555123,22.106299"
广东·珠海·香洲区,农科奇观,1418545125,展馆,4A景区,热度 0.74,广东省珠海市香洲区前山梅溪双龙山旅游路2068号（珠海农科奇观中心）,见证奇形怪状的植物如何诞生,"113.52773,22.30041"
广东·珠海·香洲区,港珠澳大桥,765077013,城市观光,,热度 0.0,珠海市香洲区唐淇路,连接香港、珠海和澳门的桥梁,"113.66598,22.253198"
广东·珠海·香洲区,情侣路,3892482340,城市观光,,热度 0.9400000000000001,广东省珠海市香洲区,路上有连体自行车，节省脚力，方便快捷,"113.58835301667,22.28015811738"
广东·珠海·香洲区,海上看珠海,387485396,城市观光,,热度 0.0,广东省珠海市香洲区九州港客运码头,海上大黄蜂 带你全视角观赏港珠澳大桥,"113.598578,22.245129"
广东·珠海·香洲区,横琴湾海上游,2240725227,城市观光,,热度 0.0,珠海市香洲区横琴客运码头,来这里览尽珠澳两地风光迥异美景,"113.557642,22.119907"
广东·珠海·香洲区,九洲港口岸,764457473,城市观光,,热度 0.0,香洲区情侣南路,环境干净整洁，指示清晰，基础设施完善,"113.59952,22.244634"
广东·珠海·香洲区,珠海国际赛车场,1072118262,运动健身,,热度 0.72,珠海市金鼎镇,珠海国际赛车场位于珠海市金鼎镇，占地面积共4平方公里。是目前亚洲六个A级赛道(其中包括日本4个、印尼1个)。珠海国际赛车,"113.566063743,22.3632326874"
广东·珠海·香洲区,东方高尔夫乡村俱乐部,3017101034,运动健身,,热度 0.7,广东省珠海市横琴新区环岛北路1号,湖水绿茵相互辉映，设计新颖，极具挑战,"113.485303,22.150461"
广宁省·下龙市,下龙湾,3491930828,城市观光,,热度 0.0,位于北部湾西部，距离越南首都河内150公里,此地秀美的生态景观体现了它特殊的美学价值,"107.1839024,20.9100508868045"
广西·百色,百色星河水上乐园,3537365551,游乐场,,热度 0.0,广西省百色市百东新区高速路口出入口旁,丰富感官体验、强化氛围营造、增强互动分享,"106.763085,23.804661"
广西·百色·德保县,吉星岩景区,2779386837,公园,4A景区,热度 0.0,广西省百色市德保县燕峒乡那布村吉岩屯,壮乡听海、云山鉴水、诗画田园、幽静奇观,"106.645608,23.253653"
广西·百色·德保县,德保红叶森林公园,616721935,公园,4A景区,热度 0.0,广西壮族自治区百色市德保县,金秋枫叶似火，湖水轻柔，颇具诗情画意,"106.660826,23.35888"
广西·百色·靖西县,通灵大峡谷,3027816875,自然风光,4A景区,热度 1.0,广西壮族自治区百色市靖西县湖润镇新灵村,巨型钟乳石高崖倒悬，古树老藤遮天蔽日,"106.658248,23.029389"
广西·百色·靖西县,靖西鹅泉风景区,2648719018,自然风光,,热度 0.7,广西壮族自治区百色市靖西县新靖镇鹅泉村念安屯西,泉水四季不涸，水质清澈，花草树木繁茂,"106.395083,23.105498"
广西·百色·靖西县,靖西旧州景区,2953918223,文化古迹,,热度 0.82,广西省百色市靖西县城南9公里,旧州百姓安居乐业，为边地的“世外桃源”,"106.424957,23.06454"
广西·百色·靖西县,古龙山大峡谷,1986255673,公园,4A景区,热度 0.86,广西壮族自治区百色市靖西县湖润镇新灵村,佳景荟萃，自然纯净，不染世尘的原始画廊,"106.668049,23.013365"
广西·百色·乐业县,大石围天坑,2022728818,城市观光,4A景区,热度 0.86,广西壮族自治区百色市乐业县同乐镇刷把村百岩脚屯,险奇峻雄秀美的地质奇观,"106.516135,24.97152"
广西·北海·百年老街,北海明清木雕馆,1568518740,展馆,,热度 0.0,广西省北海市百年老街（珠海路）,雕工精湛的艺术珍品,"109.119624,21.488865"
广西·北海·百年老街,北海水彩画馆,948060730,展馆,,热度 0.0,广西省北海市珠海东路181号,重点介绍代表北海画派的十一名画家,"109.122892,21.489495"
广西·北海·北海银滩,海滩公园,1251070863,游乐场,,热度 0.0,广西壮族自治区北海市银海区银滩大道中段,银滩国家旅游假区的核心,"109.151434,21.41266"
广西·北海·鳄鱼山景区,涠洲岛灯塔,3117114835,城市观光,,热度 0.0,广西省北海市海城区北部湾海域涠洲岛火山国家地质公园鳄鱼山景区内,涠洲岛的标志性建筑之一,"109.108142,21.01683"
广西·北海·海城区,涠洲岛,3882274063,自然风光,4A景区,热度 0.9199999999999999,广西省北海市南北部湾海域,秀美的火山岛，感受渔家风情,"109.124525,21.048067"
广西·北海·海城区,北海海滨公园,3843030540,公园,,热度 0.74,广西壮族自治区北海市海城区茶亭路23号,园内展出北部湾众多海洋生物标本,"109.13454,21.493161"
广西·北海·海城区,火山口地质公园,954819017,公园,,热度 0.0,广西省北海市海城区涠洲岛西南端,火山岩石千姿百态，让人感叹大自然的神奇,"109.108021,21.016813"
广西·北海·海城区,北海南珠博物馆,2139971574,展馆,,热度 0.0,广西北海市海城区茶亭路4-1号,南珠皇冠，南珠王，周恩来总理珍贵文件等,"109.13525,21.491942"
广西·北海·海城区,北海贝雕博物馆,1954119337,展馆,,热度 0.0,广西壮族自治区北海市云藏路6号,上千件珍贵贝类文物及百余幅大师贝雕作品,"109.105663,21.472107"
广西·北海·海城区,北海老城历史文化馆,2290131612,展馆,,热度 0.0,广西省北海市珠海中路102号（百年老街）,全国独一无二的坭兴陶大师作品精选,"109.119212,21.488604"
广西·北海·海城区,涠洲岛天主教堂,4063592370,城市观光,,热度 0.0,广西省北海市海城区涠洲岛西南端鳄鱼山景区旁,罗马式尖塔，别具一格,"109.109702,21.016357"
广西·北海·海城区,老街,3727767897,城市观光,,热度 0.0,广西北海海城区珠海西路与四川路交叉口,东西方文化碰撞的一个美丽的结晶,"109.114798,21.486354"
广西·北海·海城区,北部湾广场,684146266,城市观光,,热度 0.8,广西省北海市区中心的北部湾中路、四川路、常青路交汇点,南珠魂,"109.120291,21.478057"
广西·北海·合浦县,合浦汉闾文化园,2152857229,城市观光,4A景区,热度 0.0,广西合浦县定海南路合浦县汉文化博物馆旁（汉闾文化园）,带你体验汉代生活,"109.196402,21.649603"
广西·北海·涠洲岛,北海渔家乐,3819825110,农家度假,,热度 0.0,广西省北海市海城区涠洲岛,亲自体验渔家的作业，其乐无穷,"109.100264,21.021547"
广西·北海·涠洲岛,涠洲岛国家地质博物馆,3623886871,展馆,,热度 0.0,北海市海城区涠洲岛南部,中国首座建在海岛上的火山地质博物馆,"109.122854,21.050535"
广西·北海·涠洲岛,涠洲岛主标志广场,558950625,城市观光,,热度 0.0,广西壮族自治区北海市涠洲岛火山国家地质公园,拥有震撼人心的火山海蚀景观,"109.108021,21.016806"
广西·北海·银海区,北海银滩,1395095585,自然风光,4A景区,热度 0.0,广西壮族自治区北海市银海区银滩大道,滩长平，沙细白，水温净，浪柔软，无鲨鱼,"109.161726,21.408075"
广西·北海·银海区,北海金海湾红树林,1135208632,自然风光,4A景区,热度 0.0,广西省北海市银海区区东南方约15公里处,摸螺、捉蟹、挖沙虫，跟渔民一起赶海去,"109.215372,21.426977"
广西·北海·银海区,田野农业生态旅游观光园,467310365,农家度假,,热度 0.7,广西壮族自治区北海市银滩大道中段田野高科技农业园,集农业观光、休闲度假一体的农业生态旅游,"109.218802,21.466582"
广西·北海·银海区,红树林天天赶海,3612544532,城市观光,,热度 0.0,广西北海市南珠大道与海景大道交叉口金海湾红树林景区方向前350米,一起揭开大海的神秘面纱，发掘它的独特魅力,"109.189052,21.430212"
广西·北海·银海区,红树林西门赶海,697099973,城市观光,,热度 0.0,广西省北海市银海区海景大道下村路口北100米,按喜欢的旅游方式体验本地赶海居民的生活。,"109.206075,21.427587"
广西·崇左·大新县,德天跨国瀑布,760518265,自然风光,5A景区,热度 1.0,广西壮族自治区崇左市大新县硕龙镇陇宏村德天跨国瀑布景区,天然跨国瀑布，中国六大著名瀑布之一,"106.73464,22.858947"
广西·崇左·大新县,明仕田园风景区,1075539328,自然风光,,热度 0.74,广西崇左市大新县堪圩乡明仕村,边漂流边欣赏溪河美景,"106.921924,22.716235"
广西·崇左·大新县,大新恩城山水风光,1953478133,文化古迹,,热度 0.7,广西省崇左市大新县恩城乡,保护区内群峰叠嶂，溶洞遍布,"107.10191445134,22.743483684453"
广西·崇左·大新县,龙宫仙境,3107846596,公园,,热度 0.72,广西省崇左市大新县那岭乡那岭村,天下溶洞景观于一体,"107.067526,22.845996"
广西·崇左·扶绥县,龙谷湾恐龙公园,3312404800,公园,,热度 0.0,广西省崇左市扶绥县岜盆乡祥宁路1号,震撼人心的视觉体验，惊险刺激的冒险历程,"107.898777,22.554596"
广西·崇左·龙州县,法国驻龙州领事馆,2679283667,城市观光,,热度 0.0,广西壮族自治区崇左市龙州县,2000年被公布为自治区文物保护单位,"106.868085,22.340199"
广西·崇左·凭祥市,友谊关,2407764414,文化古迹,4A景区,热度 0.74,广西壮族自治区崇左凭祥市南人路83号友谊关景区,历史悠久，气势磅礴，我国九大名关之一,"106.722212,21.979641"
广西·防城港·东兴市,屏峰雨林公园,4213611221,公园,4A景区,热度 0.0,广西东兴市马路镇平丰村屏峰雨林公园,领略亚热带雨林风情，体验红石谷激情漂流,"108.013526,21.675063"
广西·防城港·东兴市,东兴市意景园水世界,3440147954,游乐场,,热度 0.0,东兴市罗浮大转盘马路路口方向前进50米左转直行1500米,惊险刺激的水上主题乐园,"107.993219,21.569483"
广西·防城港·东兴市,东兴口岸,2095273101,城市观光,,热度 0.0,广西防城港东兴市东兴口岸,一步跨到越南芒街,"107.97788,21.541904"
广西·贵港·桂平市,桂平西山,2109842174,自然风光,4A景区,热度 1.0,广西壮族自治区贵港市桂平县境内,清泉甘洌，怪石嶙峋， 石径曲幽,"110.061746,23.405959"
广西·贵港·桂平市,龙潭国家森林公园,278109702,公园,4A景区,热度 0.72,广西壮族自治区贵港桂平市金田路,北回归线上一颗璀璨的绿色明珠,"110.019232,23.50181"
广西·桂林·叠彩伏波景区,叠彩山,1069845752,文化古迹,,热度 0.76,广西壮族自治区桂林市龙珠路2号叠彩山,观历代名人摩崖石刻，登叠彩一览桂林全景,"110.30751,25.296191"
广西·桂林·叠彩区,桂林尧山景区,718445842,文化古迹,4A景区,热度 0.72,广西壮族自治区桂林市叠彩区尧山路,以变幻莫测、绚丽多彩的四时景致闻名于世,"110.376112,25.298585"
广西·桂林·叠彩区,木龙湖,3101143097,公园,,热度 0.72,广西壮族自治区桂林市叠彩区中山北路,自然山水与历史文化相融合的人工湖,"110.304887,25.29758"
广西·桂林·金坑大寨,金佛顶观景点,2842250896,自然风光,,热度 0.0,广西龙胜各族自治县龙脊景区（金坑红瑶梯田观景区内）,观赏梯田全景和观赏日落的好去处,"110.162051,25.820656"
广西·桂林·荔浦县,银子岩,9482346,自然风光,4A景区,热度 0.78,广西壮族自治区桂林市荔浦县马岭镇小青山银子岩景区,桂林旅游圈新出现的一颗璀璨明珠,"110.446061,24.647843"
广西·桂林·荔浦县,荔江湾,1904447453,自然风光,4A景区,热度 0.7,广西省桂林市荔浦县青山镇,水中水，山中山，桂林山水大河湾,"110.339791,24.446603"
广西·桂林·临桂县,义江缘,2578402260,农家度假,4A景区,热度 0.0,广西省桂林市临桂县五通镇321国道旁,大型民族风情主题景区，景观独特亮丽,"110.081659,25.41549"
广西·桂林·临桂县,罗山湖玛雅水上乐园,3032044496,游乐场,,热度 0.0,广西省桂林市临桂县罗山水库旁,打造欢乐，激情，香飘四溢的水城景观空间,"110.066536,25.247309"
广西·桂林·临桂县,罗山湖景区,3955899490,游乐场,,热度 0.0,广西省桂林市临桂区罗山水库旁罗山湖景区,集娱乐、住宿、休闲于一身的好去处,"110.066785,25.246249"
广西·桂林·临桂县,桂林乐8小城,4029329334,游乐场,,热度 0.0,广西省桂林市临桂区临桂镇西城大道东侧时代枫林美食街内（粤点私厨东100米）,儿童社会角色主题乐园,"110.185479,25.260062"
广西·桂林·灵川县,漓江,3678713220,自然风光,5A景区,热度 1.0,广西壮族自治区桂林市阳朔县,分明看见青山顶，船在青山顶上行,"110.438282,25.153169"
广西·桂林·灵川县,龙门瀑布,4200246254,农家度假,3A景区,热度 0.0,广西桂林市灵川县青狮潭镇东源村委畔头村旁,多级瀑布飞流而下，亲临其中，回归自然,"110.221063,25.717732"
广西·桂林·龙胜县,龙脊梯田,1141263143,自然风光,4A景区,热度 0.78,广西壮族自治区桂林市龙胜县东南部和平乡境内,中国秀美梯田，脱离城市去触摸自然,"110.078836,25.731802"
广西·桂林·龙胜县,黄洛瑶寨,3827656000,自然风光,,热度 0.7,广西壮族自治区桂林市龙胜各族自治县,背靠龙脊山，面临金江河,"110.137591,25.750711"
广西·桂林·龙胜县,龙胜平安壮寨,2568234052,公园,,热度 0.0,广西壮族自治区桂林市龙胜县和平乡东部龙脊景区内,体验壮族民俗风情的旅游村寨,"110.132367,25.761648"
广西·桂林·七星景区,桂林七星景区七星岩,3302421152,公园,,热度 0.0,广西壮族自治区桂林市七星区七星路1号七星公园内,山之陆离，洞之妙幻,"110.317862,25.280829"
广西·桂林·七星区,七星景区,2626479041,自然风光,4A景区,热度 0.76,广西壮族自治区桂林市七星区龙隐路1号,探寻古往今来桂林人的故事,"110.319121,25.278778"
广西·桂林·七星区,穿山公园,2674833122,公园,4A景区,热度 0.74,广西壮族自治区桂林市穿山小街55号,一座山水田园式富有野趣的公园,"110.311976,25.258046"
广西·桂林·七星区,桂林訾洲岛景区,450609211,公园,,热度 0.0,广西省桂林市中心漓江上（解放桥至龙隐桥方向右侧）,观赏城徽象鼻山的历史发源地和绝佳角度,"110.309966,25.275364"
广西·桂林·七星区,訾洲公园,2927527416,公园,,热度 0.0,广西壮族自治区桂林市七星区穿山路44号,生态、文化、旅游、休闲为一体的综合性公园,"110.31092,25.279591"
广西·桂林·七星区,一江四湖,3209954893,城市观光,,热度 0.0,广西省桂林市七星区解放桥东南端桥底，该处有六匹铜马为标识,乘坐游船观赏美丽的一江四湖,"110.309735,25.281765"
广西·桂林·七星区,两江四湖解放桥码头,4010736650,城市观光,,热度 0.8,广西省桂林市七星区解放桥码头,重现唐宋时尚的环游桂林线路，轻悠旅程时光,"110.30983,25.281572"
广西·桂林·榕湖和杉湖,日月双塔文化公园,2029366024,公园,,热度 0.0,广西省桂林市秀峰区文明路榕杉湖景区内,风景优美，具有很深的文化底蕴，拜佛圣地,"110.301227,25.277713"
广西·桂林·象山区,象山景区,2898718562,自然风光,5A景区,热度 0.7,广西壮族自治区桂林市民主路52号,桂林城徽，绝美赏月地领略三月争辉奇景,"110.302339,25.274549"
广西·桂林·象山区,侗情水庄景区,537890361,农家度假,,热度 0.0,广西壮族自治区桂林市象山区象塘路331号,集娱、住、吃、购一体的民俗文化景区,"110.298072,25.149837"
广西·桂林·象山区,象鼻山夜游两江四湖,4077986487,城市观光,,热度 0.0,广西省桂林市象山区漓江1号,多角度欣赏桂林夜景,"110.302014,25.260748"
广西·桂林·兴安县,猫儿山,3656795521,自然风光,,热度 0.72,广西壮族自治区桂林市兴安县高寨村北部,华南著名高峰，令人流连忘返的休闲避暑胜地,"110.494021,25.862922"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.72,广西省桂林市兴安县双灵路灵渠公园内,灵渠位于桂林北部57公里处的“中国十大魅力名镇”——兴安县境内，全长37.4公里，建成于秦始皇33年（公元前214年），,"110.690678,25.604685"
广西·桂林·兴安县,桂林乐满地主题乐园,3024535283,游乐场,5A景区,热度 0.7,广西壮族自治区桂林市兴安县志玲路,以浪漫与快乐为名,"110.682101,25.588829"
广西·桂林·秀峰区,芦笛岩,1533968259,自然风光,4A景区,热度 0.76,广西壮族自治区桂林市秀峰区芦笛路1号,大自然艺术之宫，接待300位国宾的溶洞,"110.279143,25.316464"
广西·桂林·秀峰区,桂林两江四湖景区,858225756,自然风光,5A景区,热度 0.7,广西壮族自治区桂林市秀峰区滨江路12号,重现唐宋时尚的环游桂林线路，轻悠旅程时光,"110.298547,25.257801"
广西·桂林·秀峰区,独秀峰王城景区,1537503131,自然风光,5A景区,热度 0.72,广西壮族自治区桂林市秀峰区王城路1号,明代王府清朝贡院所在地，阅尽王城知桂林,"110.305678,25.289462"
广西·桂林·秀峰区,象山公园,3949754086,自然风光,4A景区,热度 0.0,广西壮族自治区桂林市秀峰区滨江路1号,2017央视春晚分会场，绝美赏月地,"110.302339,25.274547"
广西·桂林·秀峰区,刘三姐大观园,1393171219,公园,4A景区,热度 0.7,广西省桂林市秀峰区桃花江路1号,感受到少数民族以歌传情的热烈氛围,"110.276168,25.286424"
广西·桂林·秀峰区,榕湖人文及美术馆,2179142522,展馆,,热度 0.0,广西省桂林市秀峰区榕湖北路16号榕湖饭店5号楼,感受弥足珍贵的非物质文化遗产,"110.293297,25.281922"
广西·桂林·雁山区,玉圭园环球名胜凯旋王国主题乐园,3345000130,游乐场,,热度 0.0,广西桂林雁山区良丰路（环城高速公路口）,极其丰富的游玩项目，体验设施,"110.323367,25.150242"
广西·桂林·雁山区,玉圭园环球名胜梦幻水上乐园,2049353813,游乐场,,热度 0.0,广西桂林雁山区良丰路（环城高速公路口）,激情四射，时尚动感的水上狂欢胜地,"110.324495,25.150095"
广西·桂林·阳朔,展卓通用航空阳朔基地,2455020975,运动健身,,热度 0.0,广西省桂林市阳朔县高田镇高田高速路口,开启低空旅游时代,"110.681768,25.605565"
广西·桂林·阳朔县,遇龙河,3385672069,自然风光,,热度 0.86,广西省桂林市阳朔县遇龙河景区,人称“小漓江”，不是漓江胜似漓江,"110.45795,24.757044"
广西·桂林·阳朔县,阳朔世外桃源景区,311895735,自然风光,4A景区,热度 0.7,广西壮族自治区桂林市阳朔县白沙镇五里店桂阳公路,远方群山，村树含烟，阡陌纵横，屋宇错落,"110.399611,24.868427"
广西·桂林·阳朔县,阳朔十里画廊,2331193649,自然风光,,热度 0.0,广西省桂林市阳朔县月亮山,沿路山峦奇特，如诗如画，令人如痴如醉,"110.476723,24.725351"
广西·桂林·阳朔县,黄布倒影,2150508665,自然风光,,热度 0.74,广西桂林阳朔县兴坪镇漓江,黄布倒影是漓江精华中的精华，位于漓江83公里精华段兴坪古镇境内，游船经过杨堤，过了九马画山，江面逐渐开阔，水平如镜，青峰,"110.515181,24.913233"
广西·桂林·阳朔县,九马画山,3514698530,自然风光,3A景区,热度 0.0,广西省桂林市阳朔县兴坪镇,自古山如画，如今画似山,"110.502396,24.941774"
广西·桂林·阳朔县,相公山,2597256277,自然风光,,热度 0.0,桂林市阳朔县兴坪镇境内的漓江西岸，在黄布滩和九马画山两景点之间,清澈的漓江蜿蜒流淌在群山怀抱中,"110.524325,24.921721"
广西·桂林·阳朔县,阳朔,273058741,文化古迹,,热度 0.0,广西壮族自治区桂林市阳朔县,"“阳朔山水甲桂林”,古镇人家清幽静美","110.502714,24.784504"
广西·桂林·阳朔县,兴坪古镇,253741351,文化古迹,3A景区,热度 0.78,广西省桂林市阳朔县兴坪镇景区,老街长长，古巷深深,"110.532904,24.922843"
广西·桂林·阳朔县,兴坪渔村,3730038832,文化古迹,,热度 0.72,广西壮族自治区桂林市阳朔县兴坪码头,具有典型的明清暑期桂北民居特色,"110.52807,24.923515"
广西·桂林·阳朔县,图腾古道,2476829498,文化古迹,4A景区,热度 0.74,广西壮族自治区桂林市阳朔县十里画廊图腾古道景区,邂逅山水画卷，感受浪漫风情,"110.499448,24.754559"
广西·桂林·阳朔县,旧县村,104968891,农家度假,,热度 0.0,广西省桂林市阳朔县白沙镇旧县村,一沓沓厚重的历史书卷,"110.436827,24.790124"
广西·桂林·阳朔县,三千漓山水人文度假区,2836489179,农家度假,,热度 0.0,广西壮族自治区桂林市阳朔县兴坪镇凤凰路1号,满足你观光+度假的全域旅游需求,"110.546252,24.926318"
广西·桂林·阳朔县,阳朔星视界趣味蜡像馆,3622534737,展馆,,热度 0.0,阳朔县阳朔西街115号肯德基2楼,阳朔西街奇妙体验,"110.500824,24.780085"
广西·桂林·阳朔县,杨堤码头,2285863073,城市观光,,热度 0.0,广西省桂林市阳朔县广西桂林市阳朔县杨堤码头,欣赏漓江烟雨的好地方,"110.460853,24.998611"
广西·桂林·阳朔县,杨堤,686520305,城市观光,,热度 0.76,广西壮族自治区桂林市阳朔县杨堤乡,漓江游的起点,"110.461475,24.998655"
广西·桂林·阳朔县,阳朔西街,578131995,城市观光,,热度 0.9199999999999999,广西省桂林市阳朔县西街步行街,小家碧玉的村镇建筑，国际情调的人文景观,"110.500292,24.779377"
广西·桂林·资源县,八角寨,2488815602,自然风光,4A景区,热度 0.0,广西壮族自治区桂林市资源县梅溪乡大坨村境内,丹霞之魂，国家瑰宝,"110.74439,26.277801"
广西·桂林·资源县,资源天门山,1703688139,公园,3A景区,热度 0.7,广西省桂林市资源县中峰乡车田湾村,山形峻秀，岩壑争奇，典型的丹霞地貌,"110.692885,26.14243"
